data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,43979744,142968999,1,2021-09-23,1,N,13C,65,62,M,20,40,R,,,62,
2021,43979748,142969010,1,2021-09-23,1,N,290,29,26,M,20,40,N,,,26,
2021,43979684,142968552,1,2021-09-24,1,N,13B,31,28,F,10,40,N,,,28,
2021,43979709,142968737,1,2021-09-24,1,N,13B,36,33,M,20,20,U,,,33,
2021,44989821,146707380,1,2021-09-24,1,N,13C,40,37,M,20,40,N,,,37,
2021,43979685,142968553,1,2021-09-24,1,N,23D,37,34,M,20,40,U,,,34,
2021,43979758,142969098,1,2021-09-24,1,N,35A,26,23,M,20,20,R,,,23,
2021,43979689,142968592,1,2021-09-24,1,N,13B,32,29,M,20,20,N,,,29,
2021,46149901,150921480,1,2022-02-18,1,M,23D,33,30,M,20,20,U,,,30,
2021,43979713,142968765,1,2021-09-24,1,N,13B,33,30,M,20,10,U,,,30,
2021,44398541,144485324,1,2021-09-24,1,N,35A,23,20,M,20,20,R,,,20,
2021,43979669,142968334,1,2021-09-24,1,N,13B,51,48,F,20,20,U,,,48,
2021,43979730,142968919,1,2021-09-24,1,N,13B,30,27,F,20,20,U,,,27,
2021,43979675,142968399,1,2021-09-24,1,N,13B,64,61,F,20,40,R,,,61,
2021,43979705,142968707,1,2021-09-24,1,N,13B,63,60,M,20,20,R,,,60,
2021,44398647,144486275,1,2021-09-24,1,N,13B,37,34,M,20,20,U,,,34,
2021,44398719,144487076,1,2021-09-24,1,N,13B,47,44,M,20,20,R,,,44,
2021,43979697,142968640,1,2021-09-24,1,N,520,32,29,M,20,20,R,,,29,
2021,44398555,144485473,1,2021-10-19,3,M,11C,30,27,M,20,20,R,,,27,
2021,43979699,142968653,1,2021-09-25,1,N,13B,43,40,M,20,20,R,,,40,
2021,44398639,144486173,1,2021-09-25,1,N,13B,41,38,F,20,40,U,,,38,
2021,43979698,142968648,1,2021-09-25,1,N,120,22,19,M,10,10,U,,,19,
2021,44398689,144486771,1,2021-09-25,1,N,23D,32,29,M,20,20,U,,,29,
2021,44398662,144486449,1,2021-09-25,1,N,13B,68,65,M,20,20,R,,,65,
2021,43979823,142969615,1,2021-09-25,1,N,13B,40,37,M,20,20,U,,,37,
2021,43979829,142969707,1,2021-09-25,1,N,13B,21,18,F,20,40,U,,,18,
2021,44398659,144486416,1,2021-09-25,1,N,13B,30,27,F,20,20,U,,,27,
2021,44989883,146707792,1,2021-09-25,1,N,520,21,18,M,20,20,R,,,18,
2021,43979794,142969371,1,2021-09-25,1,N,13B,39,36,M,10,10,U,,,36,
2021,43979755,142969057,1,2021-09-25,1,N,13C,31,28,M,20,20,U,,,28,
2021,44989815,146707340,1,2021-09-25,1,N,13B,36,33,M,10,20,U,,,33,
2021,43979803,142969421,1,2021-09-25,1,N,13B,49,46,M,20,20,R,,,46,
2021,43979759,142969102,1,2021-09-25,1,N,13B,42,39,F,20,20,R,,,39,
2021,43979846,142969835,1,2021-09-25,1,N,13A,57,54,M,20,40,U,,,54,
2021,44989860,146707686,1,2021-09-25,1,N,520,31,28,M,20,20,N,,,28,
2021,43979827,142969679,1,2021-09-26,1,N,13C,38,35,M,20,20,U,,,35,
2021,44989899,146707945,1,2021-09-26,1,N,520,27,24,M,20,20,R,,,24,
2021,44989900,146707945,2,2021-09-26,1,N,520,30,27,M,20,20,R,,,27,
2021,43979779,142969264,1,2021-09-26,1,N,13B,53,50,M,20,20,U,,,50,
2021,44398658,144486404,1,2021-09-26,1,N,13A,34,31,M,10,40,R,,,31,
2021,44398672,144486551,1,2021-09-26,1,N,13A,22,19,M,20,20,R,,,19,
2021,44989842,146707561,1,2021-09-26,1,N,520,36,33,F,20,20,N,,,33,
2021,43979821,142969598,1,2021-09-26,1,N,13B,27,24,M,98,40,U,,,24,
2021,43979786,142969301,1,2021-09-26,1,N,13B,43,40,M,20,40,U,,,40,
2021,43979787,142969301,2,2021-09-26,1,N,13B,36,33,F,20,10,R,,,33,
2021,43979812,142969514,1,2021-09-26,1,N,23H,50,47,M,20,40,R,,,47,
2021,43979780,142969267,1,2021-09-26,1,N,240,34,31,M,20,20,R,,,31,
2021,43979764,142969129,1,2021-09-26,1,N,13A,24,21,M,20,20,U,,,21,
2021,43979848,142969838,1,2021-09-26,1,N,13B,36,33,F,20,20,N,,,33,
2021,44398733,144487219,1,2021-10-03,3,N,13B,19,16,M,20,20,U,R,,16,
2021,43979773,142969220,1,2021-09-26,1,N,13B,26,23,M,20,20,R,,,23,
2021,44398645,144486248,1,2021-09-26,1,N,13B,30,27,M,20,20,R,,,27,
2021,45742482,149542932,1,2021-10-06,1,N,09A,40,37,M,20,20,U,,,37,
2021,43979844,142969817,1,2021-09-26,1,N,13B,29,26,M,20,20,R,,,26,
2021,44989829,146707449,1,2021-09-26,1,N,520,26,23,M,20,20,R,,,23,
2021,43979802,142969420,1,2021-09-26,1,N,13B,58,55,F,20,40,R,,,55,
2021,43979849,142969842,1,2021-09-26,1,N,13B,62,59,M,20,40,R,,,59,
2021,43979828,142969695,1,2021-09-27,1,N,13B,31,28,F,20,20,U,,,28,
2021,43979822,142969600,1,2021-09-27,1,N,13B,40,37,M,20,20,U,,,37,
2021,44647829,145433287,1,2021-11-02,3,N,240,20,17,M,20,10,R,R,,17,
2021,45742669,149543476,1,2021-09-29,3,N,520,28,25,M,20,40,U,,,25,
2021,43979774,142969227,1,2021-09-27,1,N,13C,49,46,M,20,40,R,,,46,
2021,45742777,149543884,1,2021-09-27,1,N,13C,27,24,M,20,20,U,,,24,
2021,43979751,142969033,1,2021-09-27,1,N,13B,26,23,F,20,40,U,,,23,
2021,43979762,142969118,1,2021-09-27,1,N,290,60,57,M,20,20,U,,,57,
2021,44398970,144489398,1,2021-09-27,1,N,23F,46,43,F,20,20,U,,,43,
2021,44989836,146707495,1,2021-09-27,1,N,520,23,20,M,20,40,R,,,20,
2021,43979771,142969178,1,2021-09-27,1,N,13B,43,40,M,10,10,U,,,40,
2021,43979819,142969581,1,2021-09-27,1,N,13C,28,25,M,20,20,U,,,25,
2021,44398712,144486995,1,2021-09-27,1,N,13C,33,30,M,20,20,R,,,30,
2021,43979776,142969243,1,2021-09-27,1,N,290,51,48,F,20,20,U,,,48,
2021,46149856,150921248,1,2022-02-18,1,M,23D,33,30,M,20,20,U,,,30,
2021,43979798,142969393,1,2021-09-27,1,N,13B,25,22,F,20,40,U,,,22,
2021,44989843,146707563,1,2021-09-27,1,N,520,44,41,M,20,20,R,,,41,
