data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,44647723,,51
2021,44988819,,9
2021,44988803,,51
2021,44988815,,51
2021,44398472,,51
2021,46149913,,51
2021,44988804,,51
2021,44988816,,52
2021,44988795,,3
2021,44398598,,51
2021,44988926,,51
2021,44988776,,51
2021,44988807,,51
2021,44988790,,51
2021,44988812,,9
2021,44989555,,51
2021,45742478,,3
2021,44988802,,51
2021,44988791,,51
2021,44988799,,51
2021,46149947,,51
2021,44988782,,9
2021,44647748,,51
2021,44988784,,51
2021,44988830,,51
2021,45742654,,51
2021,45742655,,51
2021,44988852,,51
2021,44988789,,51
2021,44989631,,51
2021,44988915,,51
2021,44989578,,51
2021,44988796,,51
2021,44988821,,3
2021,44989347,,51
2021,44989649,,51
2021,44989540,,51
2021,44988856,,51
2021,44988813,,51
2021,44988798,,51
2021,44988862,,51
2021,44988917,,51
2021,44988787,,52
2021,44988809,,51
2021,44989601,,9
2021,44988808,,51
2021,44398588,,51
2021,44988822,,51
2021,44988823,,51
2021,43979258,,51
2021,45742435,,51
2021,44398500,,52
2021,44988794,,52
2021,44988797,,51
2021,45742448,,4
2021,44988814,,51
2021,44398468,,51
2021,44398469,,51
2021,44988901,,3
2021,44988902,,3
2021,44988793,,51
2021,44988800,,51
2021,44988849,,51
2021,44988792,,51
2021,44988779,,51
2021,44988785,,51
2021,44988811,,51
2021,44988875,,51
2021,44989340,,9
2021,44988840,,51
2021,44988788,,51
2021,44988834,,51
2021,43979208,,51
2021,44988876,,3
2021,44988827,,51
2021,44988892,,51
2021,44988843,,51
2021,44988870,,51
2021,44988831,,51
2021,44988832,,51
2021,44989573,,51
2021,44988846,,51
2021,44989059,,51
2021,44988883,,51
2021,46149887,,51
2021,44988839,,51
2021,44398501,,51
2021,44989643,,52
2021,44989359,,51
2021,44988933,,51
2021,44989618,,51
2021,44988847,,51
2021,45742223,,51
2021,44989552,,51
2021,44989553,,51
2021,44988880,,51
2021,44988836,,51
2021,44988885,,51
2021,44989603,,51
2021,44989379,,52
2021,44988851,,51
2021,44988874,,51
2021,44988818,,51
2021,44989362,,51
2021,45742308,,51
2021,45742420,,51
2021,44988828,,51
2021,44988889,,51
2021,44989598,,3
2021,44988869,,51
2021,44989622,,9
2021,44989671,,51
2021,44989382,,3
2021,44989334,,51
2021,44398621,,9
2021,44398466,,9
2021,44989611,,51
2021,44988858,,51
2021,45742754,,9
2021,44988859,,51
2021,44398519,,3
2021,44989608,,51
2021,44989366,,51
2021,44989363,,9
2021,44988833,,51
2021,44988853,,51
2021,44988848,,51
2021,45742473,,3
2021,44989396,,51
2021,44988855,,51
2021,44988850,,9
2021,44989607,,9
2021,44989564,,51
2021,46149874,,51
2021,44989590,,3
2021,44988997,,51
2021,44989637,,3
2021,44989398,,3
2021,44989399,,9
2021,44988867,,51
2021,44988842,,9
2021,44988820,,51
2021,44988877,,51
2021,44988845,,51
2021,44988935,,52
2021,44989405,,51
2021,44988887,,51
2021,44989394,,51
2021,44988991,,51
2021,44988903,,51
2021,44988844,,51
2021,46149893,,51
2021,46149892,,51
2021,44988863,,51
2021,44989349,,51
2021,46149863,,51
2021,44988881,,51
2021,44988884,,51
2021,44398496,,51
2021,44989576,,51
2021,44989544,,51
2021,45742372,,3
2021,46149836,,51
2021,44988841,,51
2021,44988837,,51
2021,44989543,,3
2021,44988873,,3
2021,44989085,,51
2021,44988864,,51
2021,44989541,,51
2021,44989392,,51
2021,44988923,,51
2021,44988910,,51
2021,44988907,,51
2021,44647726,,51
2021,44988914,,51
2021,44989352,,52
2021,44989064,,51
2021,44989542,,51
2021,44989600,,51
2021,44988918,,51
2021,44989094,,51
2021,44989095,,51
2021,44989604,,51
2021,44989589,,3
2021,44988919,,51
2021,44988936,,3
2021,44989336,,9
2021,44988931,,51
2021,44989592,,51
2021,44988934,,51
2021,44988939,,51
2021,44988893,,51
2021,44988912,,51
2021,44988941,,9
2021,44988835,,51
2021,44989353,,51
2021,44988952,,51
2021,44989599,,51
2021,45742748,,51
2021,44988940,,9
2021,44989378,,52
2021,44988899,,51
2021,44988906,,51
2021,43979280,,51
2021,43979281,,3
2021,44988898,,51
2021,44989404,,51
2021,44989397,,51
2021,44989633,,51
2021,44988911,,51
2021,44988956,,51
2021,44988947,,51
2021,44988957,,51
2021,44989129,,3
2021,44988908,,51
2021,44988964,,51
2021,44989383,,51
2021,44988942,,51
2021,44988954,,51
2021,44647759,,51
2021,45742470,,51
2021,44988921,,52
2021,44647771,,51
2021,44398483,,51
2021,44988958,,51
2021,44988913,,51
2021,44989390,,9
2021,44989579,,51
2021,45742309,,9
2021,45742434,,3
2021,45742438,,3
2021,44989557,,3
2021,44988925,,9
2021,45742752,,51
2021,44989360,,9
2021,44988900,,51
2021,44988891,,51
2021,44988904,,9
2021,44647743,,51
2021,44988953,,51
2021,44988938,,9
2021,44989072,,51
2021,44988916,,51
2021,44988949,,51
2021,44988927,,51
2021,44989079,,51
2021,44988937,,51
2021,44988962,,3
2021,44988955,,51
2021,44988924,,51
2021,44989062,,51
2021,44988946,,51
2021,44988932,,51
2021,44989355,,51
2021,44988943,,53
2021,44988976,,51
2021,46149861,,51
2021,46149880,,51
2021,44989083,,51
2021,44988993,,51
2021,44988998,,51
2021,44989041,,51
2021,44989174,,51
2021,44988995,,51
2021,44989584,,3
2021,44988978,,3
2021,44989028,,52
2021,44989400,,51
2021,44988971,,9
2021,44989386,,51
2021,44989387,,51
2021,44398528,,51
2021,44988990,,51
2021,44989537,,51
2021,44988981,,51
2021,44989030,,51
2021,44989024,,51
2021,44989606,,51
2021,44989634,,9
2021,44989013,,9
2021,44989623,,51
2021,44989018,,51
2021,44989612,,9
2021,46150015,,51
2021,44989020,,51
2021,44989021,,51
2021,44989628,,51
2021,44988988,,3
2021,44989613,,51
2021,44989627,,51
2021,44989536,,51
2021,44988986,,51
2021,44989597,,51
2021,44989641,,51
2021,44989345,,51
2021,44988994,,51
2021,44989645,,51
2021,44989535,,51
2021,44989567,,51
2021,44989554,,51
2021,44988959,,51
2021,44989388,,9
2021,44647725,,9
2021,44989654,,51
2021,44989588,,51
2021,44988969,,51
2021,44989551,,51
2021,44989346,,51
2021,44989008,,51
2021,44989632,,51
2021,44988982,,51
2021,44989015,,51
2021,44989651,,51
2021,44989639,,51
2021,44988989,,51
2021,44989032,,51
2021,44989373,,51
2021,44989646,,51
2021,44989620,,51
2021,44988999,,51
2021,44989012,,51
2021,44989343,,51
2021,44989003,,51
2021,44989595,,51
2021,44989577,,51
2021,44989640,,51
2021,44989550,,51
2021,44988970,,51
2021,44989565,,3
2021,44989571,,51
2021,44989006,,52
2021,44989558,,51
2021,44989559,,51
2021,44989348,,51
2021,44988984,,51
2021,44989562,,3
2021,44989401,,51
2021,44989609,,51
2021,44989031,,51
2021,44988980,,3
2021,45742638,,51
2021,44989574,,9
2021,45742729,,51
2021,44989033,,9
2021,44989586,,3
2021,44989037,,51
2021,44989038,,51
2021,44989602,,51
2021,44988977,,51
2021,44989011,,51
2021,44988963,,51
2021,44989625,,51
2021,44989580,,51
2021,44647721,,51
2021,44988961,,51
2021,44989369,,51
2021,44989122,,51
2021,44989605,,51
2021,44989638,,9
2021,44989619,,51
2021,45742747,,51
2021,44989614,,51
2021,44989078,,9
2021,44989556,,3
2021,44989594,,51
2021,44989545,,51
2021,44398504,,3
2021,44989626,,51
2021,44989568,,9
2021,44989141,,51
2021,45742551,,51
2021,44989624,,51
2021,44989104,,51
2021,44989333,,51
2021,44989583,,51
2021,44647788,,51
2021,44989561,,51
2021,45742656,,51
2021,44989629,,51
2021,44989108,,51
